File: shortener.exe
Build ID: C:\Users\khrya\short-urls\shortener.exe2026-05-30 19:48:13.5437198 +0300 MSK
Type: inuse_space
Time: 2026-05-30 19:47:07 MSK
Showing nodes accounting for -593.62kB, 12.64% of 4697.65kB total
Dropped 8 nodes (cum <= 23.49kB)
      flat  flat%   sum%        cum   cum%
   -1026kB 21.84% 21.84%    -1026kB 21.84%  runtime.mallocgc
 -596.16kB 12.69% 34.53%  -596.16kB 12.69%  short-urls/internal/service.NewShortUrlService
  516.64kB 11.00% 23.53%   516.64kB 11.00%  short-urls/internal/repository.(*MapKeyValueStorage).InsertNewValue
     514kB 10.94% 12.59%      514kB 10.94%  bufio.NewReaderSize (inline)
    -514kB 10.94% 23.53%     -514kB 10.94%  bufio.NewWriterSize (inline)
 -512.25kB 10.90% 34.44%  -512.25kB 10.90%  io.ReadAll
  512.17kB 10.90% 23.54%   512.17kB 10.90%  net/textproto.MIMEHeader.Add (inline)
 -512.03kB 10.90% 34.43%  -512.03kB 10.90%  internal/poll.(*FD).pin
  512.01kB 10.90% 23.54%   512.01kB 10.90%  internal/syscall/windows.errnoErr (inline)
  512.01kB 10.90% 12.64%  1028.41kB 21.89%  short-urls/internal/middleware.LoggingMiddleware.func1
         0     0% 12.64%      514kB 10.94%  bufio.NewReader (inline)
         0     0% 12.64%  1028.41kB 21.89%  github.com/go-chi/chi/v5.(*Mux).ServeHTTP
         0     0% 12.64%     4.23kB  0.09%  github.com/go-chi/chi/v5.(*Mux).routeHTTP
         0     0% 12.64%  1028.41kB 21.89%  github.com/go-chi/chi/v5/middleware.(*Compressor).Handler-fm.(*Compressor).Handler.func1
         0     0% 12.64%   512.01kB 10.90%  internal/poll.(*FD).execIO
         0     0% 12.64%   512.01kB 10.90%  internal/syscall/windows.WSAGetOverlappedResult
         0     0% 12.64%  -596.16kB 12.69%  main.main
         0     0% 12.64%  1028.41kB 21.89%  net/http.(*conn).serve
         0     0% 12.64%  1028.41kB 21.89%  net/http.HandlerFunc.ServeHTTP
         0     0% 12.64%   512.17kB 10.90%  net/http.Header.Add (inline)
         0     0% 12.64%   512.17kB 10.90%  net/http.SetCookie
         0     0% 12.64%      514kB 10.94%  net/http.newBufioReader
         0     0% 12.64%     -514kB 10.94%  net/http.newBufioWriterSize
         0     0% 12.64%  1028.41kB 21.89%  net/http.serverHandler.ServeHTTP
         0     0% 12.64%    -1026kB 21.84%  runtime.allocm
         0     0% 12.64%  -596.16kB 12.69%  runtime.main
         0     0% 12.64%    -1026kB 21.84%  runtime.mcall
         0     0% 12.64%    -1026kB 21.84%  runtime.newm
         0     0% 12.64%    -1026kB 21.84%  runtime.newobject
         0     0% 12.64%    -1026kB 21.84%  runtime.park_m
         0     0% 12.64%    -1026kB 21.84%  runtime.resetspinning
         0     0% 12.64%    -1026kB 21.84%  runtime.schedule
         0     0% 12.64%    -1026kB 21.84%  runtime.startm
         0     0% 12.64%    -1026kB 21.84%  runtime.wakep
         0     0% 12.64%  -596.16kB 12.69%  short-urls/internal/app.(*ShortUrlApp).Start
         0     0% 12.64%   516.40kB 10.99%  short-urls/internal/app.(*ShortUrlApp).Start.AuthMiddleware.func2.1
         0     0% 12.64%   516.40kB 10.99%  short-urls/internal/app.(*ShortUrlApp).Start.HandleCreateShortUrRequest.func3
         0     0% 12.64%  -512.17kB 10.90%  short-urls/internal/app.(*ShortUrlApp).Start.HandleRedirectRequest.func8
         0     0% 12.64%   516.40kB 10.99%  short-urls/internal/handler.handleCreateShortUrl
         0     0% 12.64%  -512.17kB 10.90%  short-urls/internal/handler.handleRedirectUrl
         0     0% 12.64%   516.40kB 10.99%  short-urls/internal/middleware.DecompressRequestMiddleware.func1
         0     0% 12.64%   516.64kB 11.00%  short-urls/internal/service.(*ShortUrlService).CreateShortUrl
